name z ra dec
SN2008gp 0.0334 50.753 1.3619
time flux flux_err zp band mag_sys
54806.243 1.2702923277065123e-16 2.456963189118247e-18 -20.496240812372445 Swope_B CSP_VEGA
54808.249 1.0962350282036948e-16 2.726108389108514e-18 -20.496240812372445 Swope_B CSP_VEGA
54809.211 1.0353893059638573e-16 4.0052409286811526e-18 -20.496240812372445 Swope_B CSP_VEGA
54810.202 1.0258967997493342e-16 6.330735337182348e-18 -20.496240812372445 Swope_B CSP_VEGA
54813.123 7.493827209747265e-17 5.728718041115556e-18 -20.496240812372445 Swope_B CSP_VEGA
54814.201 8.089164645271982e-17 6.481844494588248e-18 -20.496240812372445 Swope_B CSP_VEGA
54769.319 4.9052764642754193e-17 1.966350319103675e-18 -23.117934027990714 Swope_Y CSP_VEGA
54771.271 6.245540495905851e-17 3.0219959418875546e-19 -23.117934027990714 Swope_Y CSP_VEGA
54778.292 6.424501088079571e-17 1.1129486852639989e-18 -23.117934027990714 Swope_Y CSP_VEGA
54780.243 5.629724283286101e-17 9.482029255192847e-19 -23.117934027990714 Swope_Y CSP_VEGA
54784.235 4.331179348433577e-17 8.533848681580682e-19 -23.117934027990714 Swope_Y CSP_VEGA
54791.241 3.7634776650020356e-17 6.389990202941723e-19 -23.117934027990714 Swope_Y CSP_VEGA
54794.235 4.097000282534815e-17 1.471952899899842e-18 -23.117934027990714 Swope_Y CSP_VEGA
54800.2255 5.362782798021444e-17 2.3429032576702437e-18 -23.117934027990714 Swope_Y CSP_VEGA
54812.093 7.920575662395675e-17 1.6745415966910652e-18 -23.117934027990714 Swope_Y CSP_VEGA
54822.1425 5.035143438898734e-17 1.3765946962029662e-18 -23.117934027990714 Swope_Y CSP_VEGA
54769.335 2.8428896667206484e-17 1.0039853200818817e-18 -23.769869182905325 Swope_J CSP_VEGA
54771.288 3.688420026863505e-17 7.412999979339385e-19 -23.769869182905325 Swope_J CSP_VEGA
54778.305 4.4427546166252985e-17 1.67769057053979e-18 -23.769869182905325 Swope_J CSP_VEGA
54780.259 3.71010777039316e-17 1.7044553460641334e-19 -23.769869182905325 Swope_J CSP_VEGA
54784.251000000004 2.715050612789419e-17 8.466821772667248e-19 -23.769869182905325 Swope_J CSP_VEGA
54791.258499999996 1.132373360984203e-17 5.747980015783569e-19 -23.769869182905325 Swope_J CSP_VEGA
54794.251000000004 1.1797118568636693e-17 5.596735368484286e-19 -23.769869182905325 Swope_J CSP_VEGA
54800.2425 1.272530627073628e-17 1.140023066187774e-18 -23.769869182905325 Swope_J CSP_VEGA
54812.1115 1.778242697979704e-17 2.836550257974479e-19 -23.769869182905325 Swope_J CSP_VEGA
54822.165 1.0549996774087693e-17 1.0494258610960624e-18 -23.769869182905325 Swope_J CSP_VEGA
54844.016 2.1860109187109353e-18 2.2952651264729843e-19 -23.769869182905325 Swope_J CSP_VEGA
54769.351 1.0095541484832917e-17 1.5025542209945935e-18 -24.80552658188723 Swope_H CSP_VEGA
54771.305 1.0418702841043044e-17 5.12664402913281e-19 -24.80552658188723 Swope_H CSP_VEGA
54778.327999999994 1.3598842524152467e-17 1.6671234091893565e-18 -24.80552658188723 Swope_H CSP_VEGA
54780.2755 9.639578887771631e-18 3.4631552948791543e-19 -24.80552658188723 Swope_H CSP_VEGA
54784.271 7.181073423733633e-18 1.2037503745310517e-18 -24.80552658188723 Swope_H CSP_VEGA
54791.275 7.523617622184005e-18 6.347668241919262e-19 -24.80552658188723 Swope_H CSP_VEGA
54794.272 8.005516689306893e-18 1.364070370897969e-18 -24.80552658188723 Swope_H CSP_VEGA
54800.260500000004 8.495833206101244e-18 1.1515113680669845e-18 -24.80552658188723 Swope_H CSP_VEGA
54812.129499999995 9.796477880310087e-18 1.5336568447755398e-19 -24.80552658188723 Swope_H CSP_VEGA
54822.183 7.128355776856586e-18 9.848187449608777e-19 -24.80552658188723 Swope_H CSP_VEGA
54772.272 7.114989524256505e-16 3.931888515686838e-18 -20.78356433753004 Swope_g CSP_BD17
54776.231 9.448747968775052e-16 5.221571092886207e-18 -20.78356433753004 Swope_g CSP_BD17
54779.256 9.939722618516023e-16 9.154822851956295e-18 -20.78356433753004 Swope_g CSP_BD17
54781.238 9.803344511506886e-16 9.93213537081953e-18 -20.78356433753004 Swope_g CSP_BD17
54783.225 8.83434316128891e-16 8.950403822614203e-18 -20.78356433753004 Swope_g CSP_BD17
54786.339 7.873616630294166e-16 5.0763082386422995e-18 -20.78356433753004 Swope_g CSP_BD17
54790.244 6.288893859233001e-16 4.0545997104736765e-18 -20.78356433753004 Swope_g CSP_BD17
54792.175 5.2890085001333315e-16 3.897085481320257e-18 -20.78356433753004 Swope_g CSP_BD17
54801.284 2.2603425732555087e-16 1.8736672011256566e-18 -20.78356433753004 Swope_g CSP_BD17
54802.21 2.0901346499641974e-16 1.7325766394488397e-18 -20.78356433753004 Swope_g CSP_BD17
54803.295 1.8957203188154606e-16 1.7460229386361597e-18 -20.78356433753004 Swope_g CSP_BD17
54806.218 1.4906451280088427e-16 1.6475218803347339e-18 -20.78356433753004 Swope_g CSP_BD17
54808.224 1.2840273222395122e-16 1.8922125895588877e-18 -20.78356433753004 Swope_g CSP_BD17
54809.186 1.2016396911114443e-16 3.0989029566915635e-18 -20.78356433753004 Swope_g CSP_BD17
54810.216 1.1009669067401799e-16 3.447695182781998e-18 -20.78356433753004 Swope_g CSP_BD17
54813.14 9.225167599086541e-17 3.483644276620648e-18 -20.78356433753004 Swope_g CSP_BD17
54814.173 9.527397058017098e-17 2.7202676626623615e-18 -20.78356433753004 Swope_g CSP_BD17
